0,0,0,0,0,0,0,0,0,0,´í,,,0,1,2,3,4,5,6,7,8,9
1,1,1,1,1,1,1,1,1,1,,,0,23,0,0,0,0,0,1,0,0,3
2,2,2,2,2,2,2,2,2,2,,,1,0,27,0,0,0,0,0,0,0,0
3,3,3,3,3,3,3,3,3,3,,,2,0,0,27,0,0,0,0,0,0,0
4,4,4,4,4,4,4,4,4,4,,,3,0,0,0,27,0,0,0,0,0,0
5,5,5,5,5,5,5,5,5,5,,,4,0,0,0,0,25,0,0,1,0,1
6,6,6,6,6,6,6,6,6,6,,,5,0,0,0,0,0,27,0,0,0,0
7,7,7,7,7,7,7,7,7,7,,,6,0,0,0,0,0,0,23,0,0,4
8,8,8,8,8,8,8,8,8,8,,,7,0,0,0,0,0,0,0,27,0,0
9,9,9,9,9,9,9,9,9,9,,,8,0,0,0,0,0,0,0,0,27,0
0,0,0,0,9,0,9,0,9,6,4,,9,0,0,0,0,0,0,0,0,0,27
1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,
4,4,4,4,4,7,4,4,9,4,2,,,,,,,,,,,,
5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,
6,6,6,6,6,9,6,9,9,9,4,,,,,,,,,,,,
7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,
8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,
9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,
4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,
5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,
6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,
7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,
8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,
9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,
